,pred,gt
0,GERADE REGION TIEF REGION GEWITTER GEWITTER,GERADE RHEIN-PFALZ SAARLAND NORDRHEIN-WESTFALEN GEWITTER
1,WAHRSCHEINLICH SUED BESSER NORD,UNGEMUETLICH SUED BESSER ALS NORD
2,AB SUED WETTER WIND,AB MONTAG IN-KOMMEND WETTER WECHSELHAFT WIND
3,SONNE,REGION MEHR SONNE
4,TAG ZEHN GRAD BISSCHEN REGION ACHTZEHN GRAD,TAG ZEHN GRAD BISSCHEN BEWOELKT ACHTZEHN GRAD FLUSS IX
5,SONNTAG HAUPTSAECHLICH SONNE,SONNTAG UEBERWIEGEND SONNE
6,SONNTAG WEST NORDWEST WIEDER WOLKE BISSCHEN REGEN OST REGION FREUNDLICH,SONNTAG WEST NORDWEST WIEDER VIEL WOLKE BISSCHEN REGEN OST KOMMEN FREUNDLICH
7,WIND SCHWACH WEHEN,WIND SCHWACH WEHEN ZEIGEN-BILDSCHIRM
8,DIENSTAG WEST KOMMEN SCHAUER,DIENSTAG WEST MEHR WOLKE SCHAUER
9,NORD NACHT FUENF KUESTE GRAD GRAD,BAYERN WALD HEUTE ABEND MINUS FUENF FLUSS DREI GRAD
10,MITTWOCH SONNE NUR WEST SCHNEE DANN,MITTWOCH SONNE NICHT NUR WEST SCHNEE REGEN MISCHUNG DANN BEISEITE
11,WETTER MORGEN SEHEN ZEIGEN-BILDSCHIRM,JETZT WETTER MORGEN SAMSTAG ZEHNTE APRIL WIE-AUSSEHEN ZEIGEN-BILDSCHIRM
12,REGION KALT WIND STARK,IN-KOMMEND MEHR KUEHL WENIGER WIND STARK
13,DANN KOMMEN STARK GEWITTER GEWITTER,DANN KOMMEN SCHAUER STARK MIT GEWITTER
14,NACH MITTAG WEST WOLKE REGEN,NACH MITTAG NORDWEST WOLKE KOENNEN REGEN
15,SONNE TEMPERATUR,A HOCH KOMMEN SAMSTAG SONNTAG MEHR SONNE TEMPERATUR STEIGEN
16,SUED HOCH DRUCK RUHIG FREUNDLICH HERBST,SUED WAHRSCHEINLICH HOCH DRUCK RUHIG FREUNDLICH HERBST
17,SUED BISSCHEN REGEN SONST REGION FREUNDLICH,MITTWOCH SUED NORD BISSCHEN REGEN SONST REGION FREUNDLICH
18,VIERZEHN REGION WEST NUR GRAD,FUENFZEHN GRAD REGION SAUER LAND NUR SECHS GRAD
19,LUFT KUESTE HOCH MORGEN SONNE,LUFT DRUCK HOCH DESHALB MORGEN SONNE UEBERALL
20,HEUTE NACHT SECHS BIS DREIZEHN GRAD REGION ZEHN GRAD REGION BIS ZWANZIG GRAD,HEUTE NACHT SECHS BIS DREIZEHN GRAD TAG TEMPERATUR STEIGEN ZEHN GRAD ALPEN BIS FUENF ZWANZIG GRAD WEST
21,SUED NORD MAESSIG NORDOST STURM STURM,SUED SCHWACH NORD MAESSIG KUESTE STARK STURM
22,JETZT WETTER MORGEN FREITAG EINS ZWANZIG MAI,JETZT WETTER MORGEN FREITAG EINS ZWANZIG MAI
23,MORGEN NORD KUESTE,MORGEN NORD KAUM GEWITTER REGION SONNE
24,MORGEN ZWANZIG GRAD FLUSS FLUSS TROCKEN GRAD,MORGEN ZWEI GRAD REGION FLUSS NEUN GRAD
25,ZWANZIG SUEDWEST ZWANZIG GRAD,ZWANZIG BIS UEBER ZWANZIG GRAD
26,BLEIBEN STEIGEN,BLEIBEN HOCH TIEF HOCH TIEF
27,DANN SCHNEE TROCKEN DAZU STURM WEST KOMMEN,DANN REGEN VERSCHWINDEN WIND STURM WEST KOMMEN
28,MONTAG AEHNLICH WETTER HEISS,MONTAG AEHNLICH WETTER ABER BISSCHEN MEHR WARM
29,MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD,MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD
30,SKANDINAVIEN NORD WOLKE DEUTSCH KOMMEN,SKANDINAVIEN NORD WOLKE TIEF AUCH DEUTSCHLAND REGION KOMMEN
31,MITTWOCH WIND KOENNEN STURM REGEN,MITTWOCH WIND KOENNEN STURM REGEN
32,SUEDOST,SUEDOST MEISTENS TROCKEN
33,MORGEN HOCH LUFT VIEL SONNE,MORGEN AUCH HOCH LUFT VIEL SONNE
34,SAMSTAG DANN WECHSELHAFT IX REGEN BESONDERS NAH STURM,SAMSTAG SONNTAG DANN WECHSELHAFT IX REGEN BESONDERS SONNTAG KOENNEN STURM
35,NACHT NORD STURM AUCH WIND ORKAN,NACHT NORD MEHR STURM AUCH KUESTE ORKAN
36,SIEBEN ALLGAEU SECHSZEHN NORD,KUEHL SIEBEN GRAD ALLGAEU IX SECHSZEHN NORD
37,SCHOEN ABEND WEHEN,SCHOEN ABEND WUENSCHEN
38,NACHT STURM STURM KOENNEN,HEUTE-NACHT STURM KOENNEN
39,MORGEN ZWANZIG FUENF ZWISCHEN,MORGEN NORDWEST ZWEI SONST REGION MINUS FUENF ZWISCHEN EINS ZWISCHEN
40,KUESTE HEUTE NACHT REGEN REGION WOLKE TROCKEN,KUESTE HEUTE NACHT SCHNEE REGION WOLKE BISSCHEN TROCKEN
41,WIND SCHWACH MAESSIG,WIND SCHWACH MAESSIG WEHEN
42,SUED REGION NORD SEE MOEGLICH SCHNEE,SUED VIERHUNDERT SIEBENHUNDERT METER HOEHE MOEGLICH SCHNEE ENORM
43,MORGEN REGION WECHSELHAFT SIEBEN,MORGEN EINS ZWANZIG REGION BIS ACHT ZWANZIG
44,WENN NEBEL KUEHL FREUNDLICH,WENN NEBEL neg-HABEN FREUNDLICH
45,HEUTE HEUTE NACHT FROST GLATT VORSICHT FLUSS IX ACHT,MOEGLICH HEUTE NACHT FROST GLATT VORSICHT FLUSS MOEGLICH PLUS ACHT
46,DANN WOLKE TEIL FREUNDLICH TROCKEN MINUS FUENF ZWISCHEN MAXIMAL ZWANZIG GRAD,SONNTAG IX WOLKE TEIL FREUNDLICH TROCKEN MINUS FUENF ZWISCHEN MAXIMAL ZWEI GRAD
47,WEST SUEDWEST KOMMEN SCHAUER GEWITTER KOENNEN DEUTSCH WETTER DIENST WARNUNG,WEST SUEDWEST TIEF KOMMEN SCHAUER GEWITTER KOENNEN DEUTSCH WETTER DIENST WARNUNG
48,WIND MAESSIG SCHWACH SUED IX GEWITTER WIND KOENNEN,WIND MAESSIG SCHWACH REGION WENN GEWITTER WIND KOENNEN
49,OST SONNE MEHR MAXIMAL ZWANZIG SUED MAXIMAL ZWANZIG GRAD,OST REGION SONNE MEHR WARM MAXIMAL SECHS ZWANZIG SUED MAXIMAL SIEBEN ZWANZIG GRAD
50,NEBEL KUEHL,NEBEL KUEHL
51,KOMMEN TIEF KOMMEN,NORD EUROPA TIEF KOMMEN
52,SCHWACH MAESSIG WEHEN NORDOST,TAG SCHWACH MAESSIG WEHEN NORD NORDOST FRISCH MAESSIG WEHEN OST STARK WEHEN
53,TAG DANN SUED REGEN DANN IX GEWITTER,TAG DANN SUED SUEDOST REGEN NACH MITTAG IX AUCH GEWITTER
54,SOMMER ZWANZIG MINUS ZWEI GRAD REGION DEUTSCH LAND BISSCHEN WENIG SONNE ABER BISSCHEN REGEN,SOMMER ZWEITAUSEND ELF FAST VORBEI DEUTSCH LAND BISSCHEN WARM MEHR WENIG SONNE ABER ENORM VIEL REGEN
55,DANN TAG BLEIBEN SECHS GRAD IX REGION SCHLESWIG IX AUCH,UND TAG BLEIBEN KUEHL SECHS GRAD BAYERN IX REGION AUCH S+H IX AUCH
56,WIND WEHEN,WIND WEHEN MAESSIG WEHEN
57,TAG NORDOST SECHSZEHN B ZWANZIG GRAD,TAG NORDOST SECHSZEHN REGION IX DREI ZWANZIG GRAD
58,NACHT NORD EINS ZWANZIG GRAD,HEUTE NACHT MINUS ZWEI NORD MITTE MINUS EINS ZWANZIG GRAD
59,SONNTAG DICK REGION AUCH SCHAUER KOENNEN,SONNTAG SCHEINEN ALPEN AUCH SCHAUER MOEGLICH
60,HOCH HOCH KOMMEN KOMMEN MORGEN NORD VIEL SONNE TROCKEN,HOCH KOMMEN OST KOMMEN MORGEN DEUTSCH LAND VIEL SONNE TROCKEN
61,WOLKE KOMMEN IX NORDWEST NORDWEST KOMMEN,WOLKE REGION SCHAFFEN NUR NORDWEST KOMMEN
62,SAMSTAG NORD SCHAUER REGION FREUNDLICH SUED IM-VERLAUF REGEN,SAMSTAG NORD SCHAUER REGION FREUNDLICH SUED IM-VERLAUF REGEN
63,IX VIER ZWANZIG BIS GRAD,OST SUED BERLIN SUED DEUTSCHLAND VIER ZWANZIG GRAD BIS ACHT ZWANZIG GRAD
64,WETTER WETTER WIE-AUSSEHEN MORGEN ZWANZIG ZWANZIG,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG SIEBEN ZWANZIG JULI
65,BESONDERS NORD WIND STARK,BESONDERS NORDWEST WIND STARK
66,REGEN KOENNEN NACHT FROST ZEIGEN-BILDSCHIRM LEICHT FROST MINUS IX MINUS WEST FROST,SCHNEE WARUM HEUTE NACHT KALT ZEIGEN-BILDSCHIRM LEICHT FROST MINUS EINS BIS MINUS VIER NUR WEST FROST KEIN
67,SUEDOST REGION REGEN,SUEDOST SCHOEN REST neg-REGION SCHON REGEN
68,HEUTE NACHT IX NORDWEST REGEN SONST,HEUTE NACHT neg-KAUM NUR NORDWEST BISSCHEN REGEN SONST REGION RUHIG
69,WEST NACHMITTAG REGEN IX KOENNEN SCHNEE SCHNEE GEFRIEREN GLATT OST REGION FREUNDLICH,WEST TAG REGEN IX KOENNEN SCHNEE REGEN KALT FROST OST WOLKE BEWOELKT FREUNDLICH
70,SUED HEUTE NACHT TROCKEN IX KLAR ABER SONST REGION SCHAUER,OST SUED HEUTE NACHT TROCKEN AUCH KLAR DANN TEIL REGION SCHAUER
71,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG WETTER,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG ZEHNTE JANUAR
72,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SIEBEN ZWANZIG,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SIEBEN ZWANZIG SEPTEMBER
73,DANN KOMMEN SCHWUEL,WOCHE DANN HOCH KOMMEN WARM
74,SUED SCHWACH WEHEN ORKAN MAESSIG KUESTE OST STURM,SUED SCHWACH WEHEN IX MAESSIG KUESTE FRISCH OST STURM
75,HEUTE NACHT EINS GRAD MINUS SIEBEN NEBEL,HEUTE-NACHT IX EINS GRAD MINUS SIEBEN REGION
76,WOLKE WOLKE,MORGEN HAUPTSAECHLICH WOLKE VERSCHWINDEN IX
77,NORD BISSCHEN VERSCHWINDEN,DABEI NORD MEHR MILD
78,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG VIER ZWANZIG NOVEMBER,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG VIER ZWANZIG NOVEMBER
79,ABEND GUT,SCHOEN ABEND MACHEN GUT
80,KUEHL,KUEHL KOMMEN
81,KUESTE WOLKE REGEN,KUESTE BISSCHEN WOLKE ABER neg-REGEN neg-HABEN
82,MORGEN MEISTENS WOLKE IX,MORGEN UEBERWIEGEND WOLKE TROPFEN
83,REGION DIENST WARNUNG,DEUTSCH WETTER DIENST WARNUNG
84,NORDWEST IM-VERLAUF AUCH WOLKE DABEI GEWITTER REGEN,NORDWEST SPAETER AUCH WOLKE DANN DABEI GEWITTER SCHAUER
85,STERN NORD IX KOENNEN FROST,TAG KLAR STERN SEHEN KOENNEN FROST
86,MISCHUNG SCHNEE NEBEL SONNE BLEIBEN,MISCHUNG NEBEL HOCH NEBEL SONNE BLEIBEN
87,MORGEN WETTER WIE-AUSSEHEN FREITAG ZEHNTE JUNI,MORGEN WETTER WIE-AUSSEHEN FREITAG ZEHNTE JULI
88,VIEL FREITAG BLEIBEN WARM NASS SAMSTAG REGEN STARK,FREITAG BLEIBEN WARM NASS SAMSTAG DANN SUEDWEST REGEN UND KUEHL
89,MORGEN NORD REGION WETTER WECHSELHAFT SCHON AUCH DABEI,DAZU MORGEN NORD WETTER WECHSELHAFT SONNTAG AUCH MITTE
90,NACHT BIS DREI BIS PLUS VIER NORD PLUS FUENF,NACHT MINUS DREI BIS PLUS VIER NORD PLUS FUENF IX
91,MORGEN MAL SONNE SPEZIELL BERG,MORGEN MAL SONNE SPEZIELL ALPEN
92,SCHOEN ABEND,SCHOEN ABEND AUSRICHTEN
93,LIEB ZUSCHAUER GUT ABEND,LIEB ZUSCHAUER poss-EUCH GUT ABEND
94,ABEND,SCHOEN ABEND WUENSCHEN
95,HEUTE NACHT HIMMEL KOENNEN MINUS FUENFZEHN GRAD NORD VIERZEHN DREIZEHN GRAD,HEUTE NACHT KLAR HIMMEL KOENNEN MINUS FUENFZEHN GRAD NORDOST WEHEN MINUS DREI GRAD
96,TAG DREIZEHN VIERZEHN OST ELF FLUSS,AM-TAG DREIZEHN OST EINS ZWANZIG FLUSS
97,SUEDOST SCHWACH,SUEDOST SCHWACH WEHEN MAESSIG
98,NUR SUED FREUNDLICH,NUR SUED MEHR FREUNDLICH
99,WEHEN,WEHEN SCHWACH MAESSIG
100,DONNERSTAG KOMMEN,DONNERSTAG NEBEL AUFLOESEN WOLKE BEWOELKT HABEN2
101,NORDWEST AUCH AUCH TEIL IX REGEN,NORDWEST AUCH TEIL IX REGEN
102,WIE-AUSSEHEN IN-KOMMEND NORD SCHNEE SCHNEIEN NORD BLEIBEN WIND,WIE-AUSSEHEN IN-KOMMEND SONNTAG OST SPEZIELL SCHNEE NORD BLEIBEN WIND
103,IX WIND TEMPERATUR FUENF BIS DREIZEHN GRAD REGION,IX AUCH WIND DABEI TEMPERATUR FUENF BIS UNGEFAEHR DREIZEHN GRAD REGION
104,DAZU STURM NORD STURM,UND DAZU STURM NORD KUESTE STURM
105,MORGEN WETTER WIE-AUSSEHEN MITTWOCH WIE-AUSSEHEN,MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZWEITE JUNI
106,BESONDERS MORGEN EIFEL ACHTZEHN BIS SIEBEN REGION,MORGEN WERT EIFEL ACHTZEHN BIS SECHS ZWANZIG LAND
107,FREITAG ACHT WOLKE SONNE SCHNEE SCHNEIEN,FREITAG MEHR WOLKE neg-SONNE NORDOST SCHNEE SCHNEIEN
108,HEUTE NACHT NORD GLATT,HEUTE NACHT DREIZEHN NORD VIER BERG
109,NORD MILD NEUN BIS VIERZEHN GRAD,ABER DAZWISCHEN REGION MILD NEUN BIS VIERZEHN GRAD
110,HEUTE WECHSELHAFT HOCH NORD KOMMEN KOMMEN WEST KOMMEN,SO GEWITTER VON HOCH IX REGION NORD EUROPA REGION WARM LUFT KOMMEN KUEHL LUFT WEST KOMMEN
111,DONNERSTAG SONNE TEILWEISE REGEN GEWITTER,DONNERSTAG SONNE TEILWEISE REGEN STARK GEWITTER
112,REGEN AUCH OST,TAG IX REGEN AUCH KOMMEN OST
113,TEMPERATUR SAMSTAG SONNTAG GLEICH,TEMPERATUR SAMSTAG SONNTAG IX GLEICH
114,VIER FUENF GRAD VIERZEHN GRAD WIND REGION,TAG FUENF GRAD NEBEL UND FUENFZEHN GRAD FOEHN REGION
115,WIND NORD SCHWACH MAESSIG WEHEN SCHWACH WEHEN,WIND NORD SCHWACH MAESSIG WEHEN SCHWACH WEHEN
116,MORGEN NORD BIS ZWANZIG REGION,MORGEN ZWANZIG GRAD NORD BIS ACHT ZWANZIG REGION
117,SUEDWEST DEUTSCH SUED REGEN KUESTE,SUEDWEST EUROPA SUED BEKOMMEN REGEN
118,NORD BESONDERS NORDOST SCHNEE KOENNEN SONNE GEWITTER SUEDWEST MEISTENS,TAG BESONDERS NORDOST ALPEN SCHAUER KOENNEN DANN SONNE WOLKE WECHSELHAFT SUEDWEST HAUPTSAECHLICH SONNE
119,MORGEN SCHWACH ZEIGEN-BILDSCHIRM,MORGEN SCHWACH MAESSIG ZEIGEN-BILDSCHIRM WIND
120,VIEL ABEND GUT,IHR WUENSCHEN ABEND MACHEN GUT
121,MORGEN REGION,FRISCH MORGEN ANGENEHM DEUTSCH LAND
122,REGION SONNE SEHEN KOENNEN,REGION KOMMEN SONNE SEHEN KOENNEN
123,NACHT TEIL WOLKE KLAR DANN SCHAUER GEWITTER,NACHT TEIL WOLKE TEIL KLAR SCHAUER GEWITTER
124,TAG IX ZWEI GRAD,ABER MILD MEHR MEER IX ODER SUEDWEST MINUS EINS MINUS ZWEI GRAD UNGEFAEHR MEHR
125,WEST REGION HEUTE NACHT VIER REGION HAUPTSAECHLICH WIND VORSICHT SEHEN,WEST REGION HEUTE NACHT FUENF GRAD REGION HAUPTSAECHLICH FROST MOEGLICH GLATT VORSICHT
126,NORD MORGEN SIEBEN BERG BIS VIERZEHN,NORD MORGEN SIEBEN REGION FLUSS BIS FUENFZEHN
127,WALD ZWANZIG GRAD SECHS,SCHWARZ WALD FUENF ZWANZIG C+M HARZ BIS SECHZIG C+M
128,IX NORD VIEL WOLKE NEBEL TROCKEN SONNE MOEGLICH,TAG VIEL WOLKE NEBEL BLEIBEN TROCKEN IX SONNE MOEGLICH
129,WIND SCHWACH WEHEN,WIND SCHWACH WEHEN
130,REGION SONNE WOLKE WECHSELHAFT BISSCHEN SUEDWEST MEISTENS SONNE MOEGLICH,NORD SONNE WOLKE WECHSELHAFT BISSCHEN SCHAUER SUEDWEST BESONDERS SONNE MOEGLICH
131,MONTAG NORD REGION REGEN REGION BESSER IM-VERLAUF REGION REGEN,MONTAG NORD REGION REGEN REGION BESSER IM-VERLAUF REGION REGEN
132,MORGEN DREISSIG GRAD BAYERN WALD KOMMEN,MORGEN DREI GRAD REGION BAYERN WALD IX ZWOELF KOELN
133,HEUTE NACHT NORD TEIL STURM BERG ORKAN,HEUTE NACHT NORD TEIL STURM BERG ORKAN
134,BIS NEUNZEHN GRAD KOENNEN,VIERZEHN BIS NEUNZEHN GRAD KOENNEN
135,NORD WOLKE FROST SUED,NORD NUR WOLKE FROST SUED
136,WETTER AEHNLICH NORDOST DEUTSCH WETTER DIENST,WETTER WARNUNG VON DEUTSCH WETTER DIENST
137,BERG MORGEN SCHNEE SCHAUER GEWITTER,BERG MORGEN NOCH REGEN IX SCHAUER NORD GEWITTER
138,WETTER WIE-AUSSEHEN MORGEN SONNTAG DIENSTAG,WETTER WIE-AUSSEHEN MORGEN SONNTAG VIERZEHN FEBRUAR
139,HEUTE ABEND NORDWEST WOLKE BISSCHEN,WOLKE HEUTE NACHT NORDWEST WOLKE BISSCHEN REGEN
140,REGEN AUCH ABER KUEHL,REGEN negalp-AUCH ABER KUEHL
141,MORGEN NEUN FLUSS,MORGEN ZEHN GRAD IX SIEBZEHN GRAD OBER FLUSS
142,DIENSTAG REGION SONNE WOLKE LOCKER TROCKEN,DIENSTAG UEBERALL VIEL SONNE WOLKE LOCKER TROCKEN
143,NORDWEST SCHAUER VERSCHWINDEN,NORDWEST SCHNEE SCHAUER VERSCHWINDEN
144,JETZT WETTER WIE-AUSSEHEN MORGEN SECHSTE OKTOBER,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SIEBTE OKTOBER
145,REGEN REGION IX TEILWEISE SONNE KOENNEN,REGEN REGION UND IX TEILWEISE AUCH SONNE DABEI
146,WIND WEHEN WEHEN FRISCH WEHEN STURM,WIND WEHEN FRISCH KOMMEN HOCH STURM
147,SUED WIE STERN SEHEN,SUEDWEST SOWIESO STERN KOENNEN SEHEN
148,MONTAG WEITER SONNE WEST SCHAUER GEWITTER,MONTAG WEITER SONNE WEST SCHAUER GEWITTER
149,TEIL REGEN TEIL REGEN HEUTE NACHT MOEGLICH REGEN EIS GLATT,WEST TEIL SCHNEE SCHNEIEN TEIL REGEN HEUTE NACHT MOEGLICH REGEN MIT EIS GLATT GEFAHR
150,NACHT NORD,NACHT VIERZEHN NORD SECHS ALLGAEU
151,REGION NORD NEBEL VIEL BISSCHEN STURM BERG STURM ORKAN KOENNEN,REGION WEHEN SUED VIEL FRISCH WIND BISSCHEN STURM BERG STURM ORKAN KOENNEN
152,NORD WOLKE REGEN,NORDOST TIEF KOMMEN WOLKE REGEN
153,TAGSUEBER WEST FREUNDLICH SONNE DABEI,TAG DANN WEST FREUNDLICH SONNE DABEI
154,IN-KOMMEND BLEIBEN LUFT DRUCK HOCH KOMMEN NEBEL HIMMEL SONNE,IN-KOMMEND BLEIBEN LUFT DRUCK HOCH KOMMEN BEDEUTEN NEBEL HIMMEL UND SONNE MISCHUNG
155,MITTWOCH,MITTWOCH NAECHSTE DASSELBE
156,SAMSTAG REGEN BERG TEILWEISE SCHNEE,SAMSTAG REGEN BERG REGEN TEILWEISE UMWANDELN SCHNEE SCHNEIEN
157,ABEND NICHTS,ABEND WUENSCHEN
158,SONNTAG BIS ZWEI GRAD MOEGLICH GEWITTER UNWETTER,SONNTAG BIS DREISSIG GRAD MOEGLICH WIEDER UNWETTER
159,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG WETTER WIE-AUSSEHEN,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG NEUNTE FEBRUAR
160,MITTWOCH WECHSELHAFT,MITTWOCH WECHSELHAFT
161,ABER FREUNDLICH OST KOMMEN,ABER JETZT OST KOMMEN SCHWUEL LUFT AUFZIEHEN
162,NORD SUEDOST HEUTE AUCH KOENNEN REGEN GEWITTER KOENNEN,NORD SUEDOST AUCH KOENNEN REGEN GEWITTER DABEI
163,SAMSTAG SONNTAG IX HOCH FLUSS SONNE AUCH TEIL SONST SOMMER TEMPERATUR,SAMSTAG SONNTAG HOCH SPANIEN IX VERBREITEN SONNE AUCH TEIL TATSAECHLICH SCHON SOMMER TEMPERATUR
164,HEUTE NACHT VIERZEHN GRAD NORD MAXIMAL NULL,HEUTE NACHT FLUSS VIERZEHN GRAD NORD MAXIMAL NULL
165,NACHT LIEB IX ZEIGEN-BILDSCHIRM,GUT ABEND LIEB DU ZUSCHAUER poss-EUCH
166,WETTER,DANN WETTER WECHSELHAFT
167,ICH LUFT WETTER GERADE,ICH OSTERN WETTER ZUFRIEDEN
168,NORDWEST KOMMEN VORSICHT GLATT,NORDWEST REGEN ODER SCHNEE VORSICHT GLATT KOENNEN
169,AUCH ZWISCHEN FREITAG KUEHL,AUCH BIS FREITAG WIEDER SINKEN KUEHL
170,REGION MORGEN ALLGAEU KALT VIER,REGION MORGEN SECHS BERG ALLGAEU KALT MINUS VIER
171,DEUTSCH REGION REGEN DABEI NORD DANN VERSCHWINDEN SONNE,MORGEN REGION REGEN DABEI NORD DANN AUFLOESEN DANN SONNE DABEI
172,SUEDWEST AUCH BISSCHEN WETTER,SUED NOCH BISSCHEN NOCH WETTER GUT WETTER
