,pred,gt
173,DONNERSTAG WECHSELHAFT,AUCH DONNERSTAG WEITER WECHSELHAFT
174,KOENNEN WARNUNG WAHRSCHEINLICH NORD,DIESE WARNUNG UNWETTER DEUTSCH WETTER DIENST
175,WIND WIND,WIND KOMMEN DANN SCHNEE WITTERUNG
176,AUCH DIENSTAG WOLKE REGEN ODER SCHAUER,AUCH DIENSTAG WOLKE MEHR REGEN ODER SCHNEE
177,REST REGION SONNE WOLKE GERADE BISSCHEN REGEN REGEN,REST REGION SONNE WOLKE NUR ORT BISSCHEN REGEN
178,HEUTE HEUTE NACHT ELF GRAD BIS SIEBZEHN FLUSS FLUSS,HEUTE NACHT ELF GRAD BERG ALLGAEU BIS SIEBZEHN FLUSS
179,TROCKEN REGEN SCHAUER GEWITTER,TROTZDEM BLEIBEN SCHAUER GEWITTER NOCH
180,MORGEN IX VIER GRAD DANN BIS ELF REGION FLUSS GRAD,MORGEN VIER GRAD REGION SECHS BIS ELF GRAD FLUSS BIS ZWOELF GRAD
181,WIND NORDOST WENIG REGEN STARK WEHEN,WIND NORD WEHEN WENIG UNTEN STARK WEHEN
182,MITTWOCH FRISCH KOENNEN NORD NORD STARK,MITTWOCH REGEN KOENNEN NORDWEST WAHRSCHEINLICH NORD STARK WIND
183,DONNERSTAG BIS SECHS ZWANZIG GRAD VIEL,DONNERSTAG BIS SECHS ZWANZIG GRAD VIEL SONNE
184,WARM,WOHER WARM
185,HEUTE HEUTE NACHT REGION BERG KOENNEN SEHEN BIS MINUS ZWEI ZWANZIG GRAD,HEUTE NACHT IX REGION NULL GRAD WENN STERN KOENNEN SEHEN BIS MINUS ZWEI ZWANZIG GRAD
186,SUEDOST SCHNEE,IN-KOMMEND SCHNEE
187,JETZT WETTER WIE-AUSSEHEN MORGEN SECHS ZWANZIG SEPTEMBER,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHS ZWANZIG SEPTEMBER
188,SUEDOST FREUNDLICH SONNE,SUEDOST poss-SEIN FREUNDLICH SONNE
189,HOCH,IM-VERLAUF FRUEH HERBST
190,HEUTE NACHT SIEBEN REGION SECHS ZWISCHEN,HEUTE NACHT SIEBEN SONST REGION SECHS ZWISCHEN EINS
191,WETTER WIE-AUSSEHEN MONTAG VIERTE,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG FUENFTE JULI
192,REGION HOCH KOMMEN KALT KOMMEN,SKANDINAVIEN HOCH KOMMEN KALT KOMMEN
193,STURM SONNE DABEI,STURM TAGSUEBER DABEI
194,MORGEN WEST TIEF KOMMEN OST KOMMEN REGEN,MORGEN WEST TIEF KOMMEN RICHTUNG OST AUFZIEHEN
195,MORGEN IX ZWANZIG MAXIMAL VIER GRAD,MORGEN DAENEMARK IX ZWANZIG MAXIMAL DREISSIG GRAD
196,JETZT WETTER VORAUS INFORMIEREN MORGEN DONNERSTAG ZWANZIG JANUAR,JETZT WETTER VORAUS INFORMIEREN MORGEN DONNERSTAG ZWANZIG JANUAR
197,TAG TEIL SEHEN GRAD NORD,TAG TEIL NUR EINS GRAD NORD SEE
198,WAHRSCHEINLICH DOCH SCHAUER,IX WIND UND SCHNEE STUFENWEISE GRENZE
199,MORGEN KOMMEN REGEN OST OST IX WOLKE TROCKEN,MORGEN FRUEH VERSCHWINDEN LANGSAM SCHNELL NORDOST BISSCHEN WOLKE BLEIBEN TROCKEN
200,WIND SCHON HABEN2 MITTE BERG SCHON IX,WINTER SCHON HABEN MITTE BERG SCHON WEISS BODEN
201,MORGEN NORD,MORGEN NORD FREUNDLICH
202,,NORD SCHAUER
203,WOCHENENDE IM-VERLAUF MONTAG TAG NORDOST KALT,WOCHENENDE IM-VERLAUF MONTAG DIENSTAG NORDOST DANN KALT
204,SCHOEN ABEND MACHEN GUT,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH
205,IX BERG NULL MINUS SECHS NORD FROST MILD,DRESDEN IX REGION BERG NULL MINUS SECHS NORD neg-FROST neg-HABEN MILD
206,SONNTAG BERG IX AUCH REGEN NORD SCHAUER MITTE MEHR FREUNDLICH,SONNTAG ALPEN IX AUCH REGEN NORD SCHAUER MITTE MEHR FREUNDLICH SONNE
207,LIEB ZUSCHAUER ABEND,LIEB ZUSCHAUER GUT ABEND
208,NORDWEST MEHR,NORD NORDWEST MEHR VIEL WOLKE
209,OST,GLEICH OST VIER GRAD
210,MORGEN WAS IX GRAD NORDOST,AUCH MORGEN WETTER SUPER neg-HABEN FUENF GRAD NORDOST MILD WO SUEDWEST
211,REGION SONNE SONNE WARM WEITER,MONTAG SONNE WARM WEITER
212,MORGEN MEISTENS SONNE,MORGEN MEISTENS SONNE
213,WETTER WIE-AUSSEHEN WETTER WARM DONNERSTAG MONTAG MEHR KUEHL,JETZT IM-MOMENT NACHT NOCH WARM IX MORGEN FRUEH MEHR KUEHL
214,SAMSTAG TATSAECHLICH SONNTAG WEST SCHAUER GEWITTER,SAMSTAG AUCH DANN SONNTAG WEST BISSCHEN SCHAUER GEWITTER
215,JETZT WETTER MORGEN FREITAG VIERZEHN,JETZT WETTER MORGEN FREITAG VIERZEHN MAI
216,NORD TAG LANGSAM TROCKEN SONNE FREUNDLICH SONNE DABEI UND WIND,NORD TAG REGEN KOMMEN NOCH-NICHT SONNE FREUNDLICH SONNE DABEI UND STURM WIND
217,DANN VIEL REGEN SUED REGEN GEWITTER,REGEN DANN MITTWOCH REGEN DONNERSTAG STARK REGEN
218,MORGEN SONNE WOLKE WECHSELHAFT NORD SONNE,MORGEN SONNE WOLKE WECHSELHAFT NORD REGION SONNE OFT
219,WETTER WETTER WIE-AUSSEHEN MORGEN MONTAG FEBRUAR,WETTER WIE-AUSSEHEN MORGEN MONTAG EINS ZWANZIG FEBRUAR
220,MORGEN BESONDERS REGION WEST REGEN REGEN KOENNEN,MORGEN BESONDERS NORD REGION UND WEST REGEN KOENNEN
221,GEWITTER STARK,REGEN GEWITTER STARK
222,MORGEN SUED SUEDWEST ZWANZIG UND PASSEN WIE SOMMER,MORGEN DREIZEHN REGION SUEDWEST IX VIER ZWANZIG GRAD PASSEN FAST WIE SOMMER
223,HEUTE NACHT KLAR HIMMEL SEHEN REGEN KOENNEN NEBEL,NORD HEUTE NACHT KLAR HIMMEL STERN KOENNEN SEHEN SUEDWEST REGEN KOENNEN NEBEL BEREICH
224,MORGEN WECHSELHAFT IX MORGEN BESSER,MORGEN WECHSELHAFT ABER IX MORGEN BISSCHEN BESSER RUHIG
225,WEHEN FRISCH SCHWACH MAESSIG BERG WIND,WEHEN WIND SCHWACH MAESSIG BERG FRISCH WIND
226,HEUTE NACHT TEMPERATUR MINUS DREI MINUS SIEBZEHN IX KLAR UNTER,HEUTE NACHT TEMPERATUR MINUS DREI MINUS SIEBZEHN WENN KLAR TIEF
227,WIND SCHWACH WEHEN,WIND SCHWACH MAESSIG IX WEHEN
228,FREUNDLICH BISSCHEN SCHAUER,FREUNDLICH BLEIBEN REGION SUED BISSCHEN SCHAUER
229,TAG MINUS DREI NORD PLUS VIERZEHN GRAD SUED,TAG MINUS DREI NORDOST PLUS VIERZEHN GRAD SUED
230,BERG SUED SCHNEE ZWANZIG GRAD REGEN,BERG MEISTENS SCHNEE REGEN BERG ABER SUED REGION REGEN UNGEFAEHR TAUSEND ZWEIHUNDERT IX SCHNEE
231,WIND SCHWACH WEHEN WEHEN,WIND SCHWACH WEHEN
232,NORDOST MORGEN SONNE,NORD MORGEN KOENNEN SONNE
233,REGION SCHNEE KOENNEN,KOMMEN IX KALT KOMMEN IX SCHNEE GLATT KOENNEN
234,IM-VERLAUF,IM-VERLAUF TEMPERATUR REGION
235,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG VIERTE OKTOBER
236,AUCH STURM STARK WEHEN KOENNEN,AUCH WIND STARK STROEMEN REGION STURM ORKAN KUESTE KOENNEN
237,SUED SUED MITTE WOLKE MEISTENS NEBEL,TAG SUED MITTE WOLKE KRAEFTIG NEBEL
238,NORDWEST TIEF KOMMEN WOLKE WOLKE KOMMEN,IX NORD TIEF KOMMEN WOLKE KOMMEN
239,ZWEI TIEF KOMMEN IX IX IX,ZWEI TIEF
240,SONNTAG REGEN WENIG NORD REGION MOEGLICH SONNE,SONNTAG SCHNEE WENIG NORD REGION MOEGLICH SONNE
241,SONNTAG WAHRSCHEINLICH FREUNDLICH IM-VERLAUF WEST SCHNEE REGEN,SONNTAG WAHRSCHEINLICH FREUNDLICH IM-VERLAUF WEST SCHNEE SCHNEIEN REGEN
242,BERG IX DURCHGEHEND REGEN,BERG IX DURCHGEHEND REGEN
243,HEUTE NACHT NORD DEUTSCHLAND KLAR REGION KOENNEN SEHEN,HEUTE NACHT NORD MITTE KLAR STERN KOENNEN SEHEN
244,TAG IX LAND MINUS ACHT NORD DREI GRAD,TAG VOGEL LAND MINUS ACHT NORD MINUS DREI GRAD
245,SUEDOST REGEN VIEL,SUEDOST REGEN VIEL
246,NEUNZEHN IX WEST MITTE NORD TIEF KOMMEN REGEN IX,GROSSBRITANNIEN REGION FRANKREICH MITTE EUROPA REGION TIEF KOMMEN SCHNEIEN SCHNEE WENIG NUR IX
247,SUED FREUNDLICH,SUED MEHR FREUNDLICH
248,AUCH SAMSTAG IN-KOMMEND IX KOMMEN MEHR KUEHL,AUCH SAMSTAG NAECHSTE GLEICH IX KOMMEN MEHR KUEHL
249,TAG SO,ANDERE TEMPERATUR
250,WENN KLAR MOEGLICH NEBEL,WENN KLAR MOEGLICH NEBEL NORD
251,MORGEN BISSCHEN NORD MEHR BISSCHEN SCHNEE,MAL BISSCHEN SCHNEE NORD MEHR STARK SCHNEE
252,NORDWEST WOLKE MAL SONNE IX REGEN,NORDWEST WOLKE MANCHMAL SONNE BISSCHEN IX S+H IX REGEN
253,SUED MEISTENS TROCKEN BISSCHEN WOLKE MAL SONNE,SUED MEISTENS TROCKEN EINIGE WOLKE NEBEL MAL SONNE
254,MITTE NORD HEUTE NACHT REGEN,MITTE NORD HEUTE NACHT BISSCHEN REGEN IX
255,NAECHSTE WECHSELHAFT WOLKE TEIL REGEN,NAECHSTE WOCHE WECHSELHAFT WOLKE TEIL REGEN
256,AUCH HOCH BIS ABEND KOMMEN WOLKE,AUCH OBER FLUSS BIS ABEND MEHR WOLKE
257,WETTER WIE-AUSSEHEN MORGEN SAMSTAG SECHSTE,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG SIEBTE AUGUST
258,DANN STRASSE MILD DANN REGEN HIMMEL,ABER IN-KOMMEND MILD DANN WIEDER SCHNEE GRENZE AUF
259,HEUTE NACHT TEMPERATUR MINUS FUENF NORD EINS BERG FLUSS,HEUTE NACHT TEMPERATUR MINUS FUENF NORD BIS PLUS DREI WEST FLUSS
260,MITTWOCH KOMMEN KUEHL WECHSELHAFT SONNE WOLKE SCHAUER GEWITTER WEST,MITTWOCH SINKEN KUEHLER WECHSELHAFT SONNE WOLKE SCHAUER GEWITTER WEST
261,TAG SIEBEN NORD,TAG MINUS SIEBEN NORD NULL
262,REGEN VERSCHWINDEN,SONNTAG RUHIG VERSCHWINDEN
263,TEILWEISE REGEN BERG MOEGLICH SCHNEE,TEIL REGEN BERG MOEGLICH SCHNEE
264,FREITAG WIEDER KOMMEN REGEN STARK WIND,FREITAG DANN KOMMEN REGEN IX UEBERWIEGEND WIND
265,TAG EINS SYLT NEUN GRAD,TAG EINS ZWANZIG GRAD SYLT IX UND NEUN ZWANZIG GRAD REGION UND REGION
266,NORDWEST TIEF KOMMEN DANN SCHNEE GEFRIEREN,REGION LUFT TIEF KOMMEN DANN SONNTAG SCHNEE REGEN GEFRIEREN
267,SEHEN IN-KOMMEND MITTWOCH WOLKE IX KOENNEN REGEN WEST KOENNEN SONNE,WIE-AUSSEHEN IN-KOMMEND MITTWOCH BLEIBEN WOLKE IX KOENNEN REGEN WEST KOENNEN SONNE
268,REGION SONNE SCHAUER GEWITTER SUED IX ENORM REGEN STARK REGEN STURM,REGION SONNE SCHAUER GEWITTER SUED IX ENORM HAGEL STARK REGEN STURM
269,SAMSTAG UEBERWIEGEND SONNE NORD BISSCHEN,SAMSTAG HAUPTSAECHLICH SONNE NORD BISSCHEN REGEN
270,WARNUNG DEUTSCH WETTER DIENST WARNUNG INFORMIEREN,DARUM WARNUNG DEUTSCH WETTER DIENST WARNUNG INFORMIEREN
271,NACHT LIEB IX,GUT ABEND LIEB ZUSCHAUER
272,REGEN neg-HABEN,VIEL REGEN neg-HABEN
273,KUEHL SCHNEE REGION,AUCH SCHNEE KOMMEN
274,NORD BISSCHEN SCHAUER,NORDOST BISSCHEN SCHAUER ABEND AUFLOESEN
275,HEUTE BISSCHEN SCHNEE AUCH SEHEN GRAD METER LAND MITTE,SO VIEL SCHNEE ANFANG DEZEMBER TJA SELTEN BISHER WENN UEBER SICHT NULL FAST REGION DEUTSCHLAND REGION SCHNEE HABEN2
276,LOCH WOCHENENDE SCHAUER,KOMMEN LOCH ABER TROTZDEM SCHAUER
277,MEHR SCHNEE REGEN MOEGLICH AUCH MOEGLICH,MEHR SCHNEE SCHNEIEN MOEGLICH SCHNEIEN AUCH MOEGLICH
278,SPAETER REGEN REGION REGION,SPAETER REGEN UEBERALL REGION
279,MILD NORD AUCH ZWOELF ZWISCHEN SUED UNGEFAEHR VIERZEHN MAXIMAL SECHSZEHN GRAD,MILD NORD AUCH ZWOELF ZWISCHEN VIERZEHN SUED UNGEFAEHR VIERZEHN MAXIMAL SECHSZEHN GRAD
280,MONTAG AUCH WECHSELHAFT MEHR,MONTAG AUCH WECHSELHAFT UND MEHR KUEHL
281,WETTER MORGEN ELF GRAD WIE-AUSSEHEN ZEIGEN-BILDSCHIRM,JETZT WETTER MORGEN SONNTAG ZWOELF DEZEMBER WIE-AUSSEHEN ZEIGEN-BILDSCHIRM
282,ZEIT AUCH HAUPTSAECHLICH REGEN WEST WIEDER KUESTE,STUNDE AUCH MEISTENS REGEN ERST WEST DANN REGION
283,SUEDWEST BISSCHEN IX MOEGLICH SCHAUER GEWITTER,SUEDWEST DEUTSCH LAND BISSCHEN FEUCHT KOMMEN IX MOEGLICH SCHAUER GEWITTER WAHRSCHEINLICH
284,HEUTE NACHT AB MORGEN NORD BERG STURM STURM,HEUTE NACHT AB MORGEN NACHMITTAG NORD HARZ REGION STURM
285,BESONDERS ACHT REGION SACHSEN ACHTZEHN GRAD,ROSTOCK ACHT REGION LEIPZIG ACHTZEHN GRAD ZONE
286,BRAND SONNE FLUSS,ENDLICH SONNE ABER DEUTSCH KAUM
287,TROCKEN,TROCKEN ENORM
288,MORGEN TEMPERATUR ACHT BIS SECHSZEHN GRAD,MORGEN TEMPERATUR ACHT BIS SECHSZEHN GRAD
289,LUFT WETTER MORGEN DIENSTAG SECHSTE APRIL,JETZT WETTER MORGEN DIENSTAG SECHSTE APRIL
290,WIND SCHWACH NORD MAESSIG FRISCH SCHAUER KUESTE BERG STURM,SUED WIND SCHWACH NORD MAESSIG FRISCH SCHAUER KUESTE BERG TEIL STURM ORKAN
291,WOLKE HEUTE NACHT REGEN KOMMEN SUEDOST,WOLKE DABEI HEUTE NACHT KOENNEN REGEN KOMMEN SUEDOST REGEN
292,IX GEFAHR OST BESONDERS BESONDERS SUED BISSCHEN,IX KOENNEN GEFAHR GLATT BESONDERS MITTE REGION SUED DANN KALT
293,NORD REGEN WENIG KOENNEN,NORDWEST SCHNEE BISSCHEN KOENNEN
294,DONNERSTAG FREUNDLICH SEE SUEDOST TEIL,MONTAG VIEL REGION FREUNDLICH KUESTE SUEDOST KURZ WOLKE TEIL REGEN
295,IM-VERLAUF REGION WECHSELHAFT SCHNEE,UND IM-VERLAUF UEBERALL WECHSELHAFT MOEGLICH SCHNEE
296,NACHT DREIZEHN GRAD BERG NULL GRAD,NACHT SYLT DREIZEHN GRAD MITTE BERG TAL NULL GRAD
297,VIEL WOLKE KOENNEN REGEN GEWITTER KOENNEN,ES-BEDEUTET VIEL WOLKE UND KOENNEN REGEN GEWITTER KOENNEN
298,MORGEN KOMMEN KOMMEN SCHWARZ MITTE REGION NOCH NORDOST SCHON NEUNZEHN,MORGEN REGEN KOMMEN SCHWARZ WALD BERG REGION SCHNEE SIEBENHUNDERT FUENFHUNDERT METER BERG SCHON SCHNEE
299,TIEF BERG SCHWACH MORGEN OST OST SUEDOST,TIEF REGION SCHWACH MORGEN SOLL EINFLUSS OST REGION SUED
300,NORD DANN SCHAUER,REGION TEIL KLAR NORD GEBEN SCHAUER
301,MORGEN NORD REGEN SCHNEE BERG UND REGEN,MORGEN NORDOST NOCH REGEN SCHNEE REGEN BERG IX NOCH SCHNEE DURCHGEHEND
302,,SPAETER VERSCHWINDEN
303,LIEB ZUSCHAUER ABEND,LIEB ZUSCHAUER GUT ABEND
304,FRANKREICH WOLKE OST WEST REGEN,FRANKREICH KOMMEN WOLKE OST NIEDERSACHSEN BAYERN SUEDWEST REGEN
305,LIEB ZUSCHAUER ABEND,LIEB ZUSCHAUER GUT ABEND
306,NORD IX KLAR IX REGION ABER TEIL BISSCHEN REGEN HERZ BERG BAYERN,NORD DEUTSCHLAND IX KLAR LUFT IX NEBEL UND TEILWEISE BISSCHEN DAZWISCHEN REGEN HERZ BERG BAYERN REGION
307,PLUS SIEBEN GRAD WEST KOMMEN BISSCHEN FROST,IX PLUS SECHS GRAD VOR POMMERN REGION BISSCHEN FROST
308,NACHT GRAD BIS ACHTZEHN GRAD,HEUTE NACHT TEMPERATUR ELF BIS ACHTZEHN GRAD
309,REGION ABEND TROCKEN,REGION BIS ABEND TROCKEN
310,JETZT WETTER MORGEN DIENSTAG SECHS,JETZT WETTER MORGEN FREITAG SIEBEN ZWANZIG AUGUST
311,JETZT WETTER WIE-AUSSEHEN MORGEN SECHSZEHN FEBRUAR ZEIGEN-BILDSCHIRM,JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH SECHSZEHN FEBRUAR ZEIGEN-BILDSCHIRM
312,TIEF DANN RUHIG MEHR MILD AUCH BISSCHEN SONNE,IX SUED DANN RUHIG MEHR TROCKEN AUCH BISSCHEN SONNE
313,MORGEN TAG SUEDWEST REGION BLEIBEN SO SCHNEE,MORGEN TAG IM-VERLAUF SUEDWEST REGION BLEIBEN SO MOEGLICH SCHNEE
314,DANN NORD WIND BERG STURM,DANN STURM WEHEN OST FRISCH WIND BERG KOENNEN STURM
315,DONNERSTAG GEWITTER,DAZU KOENNEN GEWITTER
316,SUEDOST KOENNEN UNWETTER REGEN STURM KOENNEN,SPEZIELL SUEDOST KOENNEN ORT UNWETTER REGEN HAGEL STURM KOENNEN
317,REGEN TEILWEISE SCHNEE REGEN UMWANDELN KOENNEN FROST,ZONE KOENNEN REGEN TEILWEISE SCHNEE REGEN UMWANDELN GEFRIEREN
318,NACHT GRAD VIER,NACHT TEMPERATUR VIER BIS NEUN
319,TAG SUED FREUNDLICH KOMMEN VIEL REGEN,TAG SUED FREUNDLICH UNTEN KOMMEN MEHR REGEN TROPFEN
320,KUESTE WIND,KUESTE WIND HABEN
321,FREITAG SAMSTAG NORD WIND REGEN SUEDOST SUED FREUNDLICH TROCKEN,FREITAG SAMSTAG NORD WIND REGEN SUED FREUNDLICH TROCKEN
322,REGION HEUTE,REGION SO
323,SUED REGION AUCH LANG,SUED NEBEL REGION KOENNEN LANG NEBEL
324,AUCH TAGSUEBER IX KUEHL,ABER TAGSUEBER IX MEHR KUEHL
325,GLATT IM-VERLAUF,BLEIBEN IM-VERLAUF
326,BERG ABER SUED WEITER REGEN GEWITTER,OST LANGSAM ABER SUED WEITER REGEN GEWITTER
327,SUEDWEST KOMMEN NORD STURM KOENNEN NORD STURM KOENNEN,SUED WEHEN IX WEHEN KOENNEN STURM KOENNEN NORD SCHWER STURM
328,AB DIENSTAG STURM KOENNEN,AB DIENSTAG STURM KOENNEN
329,KOMMEN WIE-AUSSEHEN,NEU KOMMEN REGEN ABER MEHR ANGENEHM NASE LUFT
330,BERG SCHNEE,BERG REGION REGEN
331,WETTER BISSCHEN VERAENDERN BLEIBEN WOLKE TROCKEN WETTER,WETTER SO KNAPP VERAENDERN MEISTENS BLEIBEN WOLKE TROCKEN WETTER
332,HEUTE NACHT REGEN NORD SUEDOST,HEUTE NACHT MEHR SCHNEE NORD SUEDOST
333,IN-KOMMEND WETTER WECHSELHAFT,IN-KOMMEND WETTER WECHSELHAFT
334,NACHT REGION ZWANZIG GRAD MITTE BERG MOEGLICH GRAD,HEUTE NACHT RUHRGEBIET ZWANZIG GRAD MITTE BERG MOEGLICH ELF GRAD
335,MONTAG KOENNEN TIEF DRUCK REGION KUEHL MEER,MONTAG MEISTENS TIEF DRUCK REGION LUFT MEER LUFT KOMMEN
336,MORGEN IX MILD ZWOELF NORD ZWANZIG GRAD,MORGEN IX MILD ZWOELF NORD ZWEI GRAD
337,NACHT REGEN REGION DANN IM-VERLAUF SCHNEE SCHNEIEN SCHNEE SCHNEIEN,NACHT SCHNEE MEHR REGION KOMMEN DANN MORGEN SCHNEE SCHNEIEN NORDOST LANG SCHNEE SCHNEIEN
338,WIND LEICHT MAESSIG REGION REGION,NORMAL WIND LEICHT MAESSIG KOMMEN WEHEN
339,NORD SONNE WEITER GRENZE NORD,HOCH NORD SONNE DESHALB GRENZE HOCH TIEF
340,NUR NORD WOLKE,NUR NORD BISSCHEN WOLKE
341,WETTER WIE-AUSSEHEN MORGEN FREITAG SECHSTE SECHS ZEIGEN-BILDSCHIRM,JETZT WETTER WIE-AUSSEHEN MORGEN FREITAG SECHSTE MAI ZEIGEN-BILDSCHIRM
342,ABEND SEHEN,GUT ABEND LIEB ZUSCHAUER
343,SCHNEE NORD SCHNEE GRENZE SCHNEE,IX DANN SCHNEE KOENNEN ABEND DANN NORD SCHNEE FLACH SCHNEE
344,DONNERSTAG DANN MEHR WIND IX WIND REGEN GLEICH,DONNERSTAG DANN WIEDER MEHR WIND IX WIND KOMMEN ANFANG IX REGEN KOMMEN GLEICH
345,REGION FREUNDLICH,REGION LANG FREUNDLICH
346,NACHT FLUSS ACHT GRAD GRAD ALPEN MINUS SECHS,HEUTE NACHT RHEIN ACHT GRAD ALPEN MINUS SECHS
347,,DRUCK TIEF KOMMEN
348,REGION TROCKEN NACHT,REGION ANDERS MILD HINREICHEND HEUTE NACHT HINREICHEND SCHNEE
349,AB MITTAG KOMMEN STARK REGEN,AB MITTAG ZWISCHEN KOMMEN WOLKE MEISTENS REGEN
